auc,auc_normalization_denominator,auc_normalized,baf,critical,fire_duration,initial_tree_cells,max_spread_rate,param_conifer_ratio,param_f,param_height,param_humidity,param_init_tree_density,param_lightning_enabled,param_rain_enabled,param_rain_intensity,param_temperature_c,param_width,param_wind_dir,param_wind_enabled,param_wind_strength,peak_fire_fraction,peak_fire_size,run_id,scenario,seed,steps_total,steps_total_or_fire_horizon,time_to_extinguish,time_to_peak,truncated_by_max_steps
4,30426,0.00013146650890685598,0.00019719976336028398,False,2,10142,2,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.00019719976336028398,2,anchor_cool_wet-0012,anchor_cool_wet,1193242761,3,3,3,1,False
1,20196,4.951475539710834e-05,9.902951079421667e-05,False,1,10098,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.902951079421667e-05,1,anchor_cool_wet-0013,anchor_cool_wet,985514123,2,2,2,1,False
2,30609,6.534025940082982e-05,9.801038910124473e-05,False,2,10203,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.801038910124473e-05,1,anchor_cool_wet-0014,anchor_cool_wet,1085781155,3,3,3,1,False
4,40636,9.84348853233586e-05,0.0001968697706467172,False,3,10159,2,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0001968697706467172,2,anchor_cool_wet-0015,anchor_cool_wet,1221362417,4,4,4,1,False
0,5075000,0.0,0.0,False,0,10150,0,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0,0,anchor_cool_wet-0016,anchor_cool_wet,80020205,500,500,500,0,False
2,1136893,1.7591805033543174e-06,9.939369843951894e-05,False,2,10061,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.939369843951894e-05,1,anchor_cool_wet-0017,anchor_cool_wet,300211767,113,113,113,111,False
4,40264,9.934432743890324e-05,0.00019868865487780648,False,3,10066,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.00019868865487780648,2,anchor_cool_wet-0018,anchor_cool_wet,527166790,4,4,4,2,False
1,20330,4.9188391539596654e-05,9.837678307919331e-05,False,1,10165,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.837678307919331e-05,1,anchor_cool_wet-0019,anchor_cool_wet,245951459,2,2,2,1,False
0,5052500,0.0,0.0,False,0,10105,0,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0,0,anchor_cool_wet-0020,anchor_cool_wet,944062962,500,500,500,0,False
2,30081,6.648715135800007e-05,9.97307270370001e-05,False,2,10027,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.97307270370001e-05,1,anchor_cool_wet-0021,anchor_cool_wet,1435384429,3,3,3,1,False
1,20054,4.986536351850005e-05,9.97307270370001e-05,False,1,10027,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.97307270370001e-05,1,anchor_cool_wet-0022,anchor_cool_wet,1405375274,2,2,2,1,False
2,30066,6.652032195835828e-05,9.978048293753742e-05,False,2,10022,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.978048293753742e-05,1,anchor_cool_wet-0023,anchor_cool_wet,1011671398,3,3,3,1,False
6,40256,0.00014904610492845786,0.0002980922098569157,False,3,10064,3,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0002980922098569157,3,anchor_cool_wet-0024,anchor_cool_wet,1836270333,4,4,4,1,False
11,199700,5.508262393590386e-05,0.00040060090135202804,False,4,9985,2,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.00040060090135202804,4,anchor_cool_wet-0025,anchor_cool_wet,1213835294,20,20,20,18,False
4,29997,0.00013334666800013335,0.00020002000200020003,False,2,9999,2,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.00020002000200020003,2,anchor_cool_wet-0026,anchor_cool_wet,170075129,3,3,3,1,False
15,90261,0.0001661847309469206,0.0005982650314089142,False,8,10029,3,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0002991325157044571,3,anchor_cool_wet-0027,anchor_cool_wet,1642822536,9,9,9,1,False
9,80320,0.00011205179282868526,0.00039840637450199205,False,7,10040,2,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.00019920318725099602,2,anchor_cool_wet-0028,anchor_cool_wet,1233945442,8,8,8,1,False
4,40812,9.801038910124473e-05,0.00019602077820248947,False,3,10203,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.00019602077820248947,2,anchor_cool_wet-0029,anchor_cool_wet,1363047212,4,4,4,2,False
2,30114,6.641429235571495e-05,9.962143853357243e-05,False,2,10038,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.962143853357243e-05,1,anchor_cool_wet-0030,anchor_cool_wet,1214129970,3,3,3,1,False
2,30063,6.652696005056049e-05,9.979044007584074e-05,False,2,10021,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.979044007584074e-05,1,anchor_cool_wet-0031,anchor_cool_wet,1188802709,3,3,3,1,False
2,30366,6.586313640255549e-05,9.879470460383324e-05,False,2,10122,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.879470460383324e-05,1,anchor_cool_wet-0032,anchor_cool_wet,194489917,3,3,3,1,False
1,20164,4.959333465582226e-05,9.918666931164451e-05,False,1,10082,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.918666931164451e-05,1,anchor_cool_wet-0033,anchor_cool_wet,1200888232,2,2,2,1,False
10,90459,0.00011054731978023193,0.00039797035120883495,False,8,10051,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.00019898517560441747,2,anchor_cool_wet-0034,anchor_cool_wet,1707061844,9,9,9,3,False
