auc,auc_normalization_denominator,auc_normalized,baf,critical,fire_duration,initial_tree_cells,max_spread_rate,param_conifer_ratio,param_f,param_flamm_conif,param_flamm_decid,param_height,param_humidity,param_init_tree_density,param_lightning_enabled,param_rain_enabled,param_rain_intensity,param_temperature_c,param_width,param_wind_dir,param_wind_enabled,param_wind_strength,peak_fire_fraction,peak_fire_size,run_id,scenario,seed,steps_total,steps_total_or_fire_horizon,time_to_extinguish,time_to_peak,truncated_by_max_steps
29993,1216776,0.02464956573765426,0.9942322991249005,True,120,10056,58,0.5,0.01,,,120,0.05,0.7,True,False,0.0,30.0,120,E,True,0.7,0.07428400954653938,747,extreme_dry_heat-0005,extreme_dry_heat,2084558133,121,121,121,57,False
30329,1149436,0.02638598408262835,0.993904836806921,True,112,10172,30,0.5,0.01,,,120,0.05,0.7,True,False,0.0,30.0,120,E,True,0.7,0.06508061344868266,662,extreme_dry_heat-0006,extreme_dry_heat,957106589,113,113,113,59,False
30174,2044442,0.014759039385807962,0.9937753186444027,True,159,10121,32,0.5,0.01,,,120,0.05,0.7,True,False,0.0,30.0,120,E,True,0.7,0.03734808813358364,378,extreme_dry_heat-0007,extreme_dry_heat,1917963002,202,202,202,120,False
29376,1910400,0.015376884422110553,0.9841206030150754,True,122,9950,38,0.5,0.01,,,120,0.05,0.7,True,False,0.0,30.0,120,E,True,0.7,0.05849246231155779,582,extreme_dry_heat-0008,extreme_dry_heat,1455819991,192,192,192,116,False
29937,2610140,0.011469499720321515,0.9940233090945313,True,96,10039,53,0.5,0.01,,,120,0.05,0.7,True,False,0.0,30.0,120,E,True,0.7,0.06275525450742106,630,extreme_dry_heat-0009,extreme_dry_heat,1671565830,260,260,260,218,False
0,5050500,0.0,0.0,False,0,10101,0,0.5,0.01,,,120,0.8,0.7,True,True,0.7,12.0,120,E,False,0.2,0.0,0,extreme_wet_cool-0000,extreme_wet_cool,1631871623,500,500,500,0,False
3,59850,5.012531328320802e-05,0.00010025062656641604,False,3,9975,1,0.5,0.01,,,120,0.8,0.7,True,True,0.7,12.0,120,E,False,0.2,0.00010025062656641604,1,extreme_wet_cool-0001,extreme_wet_cool,417983441,6,6,6,3,False
2,30474,6.562971713591915e-05,9.844457570387872e-05,False,2,10158,1,0.5,0.01,,,120,0.8,0.7,True,True,0.7,12.0,120,E,False,0.2,9.844457570387872e-05,1,extreme_wet_cool-0002,extreme_wet_cool,781482251,3,3,3,1,False
3,3554848,8.439179396699943e-07,9.901970492127933e-05,False,3,10099,1,0.5,0.01,,,120,0.8,0.7,True,True,0.7,12.0,120,E,False,0.2,9.901970492127933e-05,1,extreme_wet_cool-0003,extreme_wet_cool,1002275723,352,352,352,349,False
5,50500,9.900990099009902e-05,0.00019801980198019803,False,4,10100,1,0.5,0.01,,,120,0.8,0.7,True,True,0.7,12.0,120,E,False,0.2,0.00019801980198019803,2,extreme_wet_cool-0004,extreme_wet_cool,1068999196,5,5,5,2,False
