auc,auc_normalization_denominator,auc_normalized,baf,burned_components,critical,fire_duration,ignition_succeeded,initial_tree_cells,largest_cluster_share,max_spread_rate,no_ignition,param_conifer_ratio,param_f,param_flamm_conif,param_flamm_decid,param_height,param_humidity,param_init_tree_density,param_lightning_enabled,param_rain_enabled,param_rain_intensity,param_temperature_c,param_width,param_wind_dir,param_wind_enabled,param_wind_strength,peak_fire_fraction,peak_fire_size,run_id,scenario,seed,shape_complexity,steps_total,steps_total_or_fire_horizon,time_to_extinguish,time_to_peak,truncated_by_max_steps
30143,1307544,0.0230531439094975,0.9913180741910024,1,True,128,True,10136,1.0,33,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.058011049723756904,588,dry_windy-0082,dry_windy,1068008205,1.20421974522293,129,129,129,59,False
29846,1538415,0.01940048686472766,0.9894579811039284,1,True,152,True,10055,1.0,47,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.045251118846345105,455,dry_windy-0083,dry_windy,1495336618,1.224846718263142,153,153,153,34,False
29708,1514832,0.019611415655333395,0.9871411483253588,1,True,150,True,10032,1.0,32,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.049441786283891544,496,dry_windy-0084,dry_windy,1064348452,1.235383217206907,151,151,151,48,False
30017,1666568,0.018011266266963005,0.9846486912025192,1,True,163,True,10162,1.0,34,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.052745522534934065,536,dry_windy-0085,dry_windy,958113305,1.2002798321007395,164,164,164,60,False
30080,1588369,0.018937664988425234,0.9911040822378175,1,True,156,True,10117,1.0,33,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05485815953345854,555,dry_windy-0086,dry_windy,356942048,1.2173132542136231,157,157,157,59,False
30230,1426180,0.02119648291239535,0.9892019240208109,1,True,139,True,10187,1.0,35,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05968391086679101,608,dry_windy-0087,dry_windy,818236852,1.191426019648705,140,140,140,58,False
30026,1399182,0.0214596814424428,0.9871782227044087,1,True,137,True,10139,1.0,40,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.061347272906598284,622,dry_windy-0088,dry_windy,512746651,1.2083125187331403,138,138,138,60,False
29879,1250292,0.023897617516548134,0.9878012496280869,1,True,123,True,10083,1.0,34,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05504314192204701,555,dry_windy-0089,dry_windy,647492280,1.2339357429718876,124,124,124,60,False
29972,1662045,0.01803320608046112,0.9918594261888216,1,True,164,True,10073,1.0,42,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.057182567259009234,576,dry_windy-0090,dry_windy,1468235991,1.2287058352517266,165,165,165,50,False
29975,1561470,0.01919665443460329,0.9918602342664284,1,True,154,True,10074,1.0,38,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05122096486003574,516,dry_windy-0091,dry_windy,1353521561,1.215972778222578,155,155,155,40,False
29612,1339975,0.022098919755965597,0.9797518610421836,1,True,132,True,10075,1.0,59,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05935483870967742,598,dry_windy-0092,dry_windy,1303944407,1.2280417384256914,133,133,133,59,False
29870,2001186,0.014926148793765297,0.9851588008311072,1,True,197,True,10107,1.0,50,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05144949045216187,520,dry_windy-0093,dry_windy,776986664,1.2126142412373204,198,198,198,59,False
30065,1328209,0.02263574482630369,0.9884604004339679,1,True,130,True,10139,1.0,62,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.06460203175855607,655,dry_windy-0094,dry_windy,2060924129,1.1885851127519458,131,131,131,57,False
